profile name,profile contributions,profile helpful votes,review title,rating,review,date of stay,trip category
11diner11,354,152,Of course it's ridiculously expensive - but wonderful,[5.0],"Have thought, and thought, and can't find a single fault with our time at The Ritz. As a venue it is stunning - completely over the top in decor, but it works. Service is impeccable; not just in the obvious, but little touches like the maitre d' remembering to wish me a happy birthday as we went in to dinner. Having suggested it is expensive, and it is, it's fair to point out one can rack up the same sort of bills in plenty of other venues for poorer meals. All the food was superb, faultlessly plated up and with excellent combinations of flavours and textures.  As for the dress code issue that rumbles on from some reviewers: this customer approves of it.", October 2012, Travelled as a couple
Matt C,1,3,Beware the lobby security,[3.0],"Fantastic and very quiet rooms, and the breakfast is cooked to perfection and served by very smart and attentive staff in a magnificent setting.  Just beware the hotel security in the lobby if you have been for a night out and are trying to get back in.  They were suspicious and intimidating and had no idea how to determine who were their real guests and who should be moved on.  Just make sure they know you are a resident - and quickly.", October 2012, Travelled as a couple
ThePorkDuke,5,11,One for the Americans and Japanese...,[3.0],"My wife and I stayed at The Ritz on the second night of our honeymoon. What's right with it is the staff. Absolutely top class. The hotel however is just a bit chintzy, as if a survey had been done  of American and Japanese tourists in the 80's and said, ""what's the stereotype of a posh English hotel? "" and they replied ""all Princess Di and Brideshead..."" Rivoli bar is very good..Two things which were a bit shocking. There was no wardrobe in my suite. Repeat no wardrobe. To hang my suit and shirts up the staff wheeled in a clothes rail (!) and parked it in front of the fireplace. Appalling. You couldn't make this up number 2, the lounge in the casino was closed as there was a private party to celebrate the Muslim festival of Eid Al Hada. Exactly.", October 2012, Travelled as a couple
michelleberyl,17,19,The Ritz - Great staff,[5.0],"What a sheer joy it was to stay in the Ritz hotel London this weekend.My wife, and I, were celebrating her birthday.This  hotel provides polite, effective  staff, delivering  first class service.We had the tasting menu which was devine, also the champagne hibiscus cocktails in the Rivoli bar.As one of the previous comments suggested, and I concur, you have to visit this hotel, at least once in your lifetime to appreciate my comments.Well done Stephen Boxall, and all his staff.", October 2012, Travelled as a couple
Joshua027,3,4,Good hotel but very pricey,[4.0],"Stayed here for four nights with my wife and friends on a recent trip to Europe. Despite the large number of hotels to stay at in London we chose the Ritz for two reasons. First it is part of the AMEX (American Express) Fine Hotels program and second because of the reputation surrounding this hotel. It was a nice stay and I am glad we saw and stayed there once, but I probably wont be a repeat visitor. Let me explain. The hotel is pricey (it cost a bit less than the Four Seasons Hotel in Geneva- but was not nearly as memorable an experience). I felt upon check out that I was nickle and dimed for EVERYTHING. For example, having booked through AMEX, I received breakfast for two each day of our stay. This is for the continental breakfast. All members of our group decided on the buffet, which was 3 dollar more each. Most hotels just waive the charge (after all this is 3 dollars on a 620 per night room). Not the Ritz. It was charged everyday. Another example is when we decided to go to the theatre. The concierge did a great job of securing us tickets but failed to mention the 10% service charge they added to the cost (we still would have gone but it would have been nice to know ahead of time). And lastly this hotel is somewhat stuck up. Unlike other hotels we stayed at during this trip (Four Seasons Geneva, Fairmont Palace in Montreux) this hotel has dress codes and has a noticeable air of snobbery. Dont get me wrong. We had a good stay, it is just that I will try out other hotels on my next trip to London", September 2012, Travelled as a couple
drewLeeds,83,83,"Thank god they've relaxed this ""tie"" thing!!",[5.0],"Hooray hooray..... At last you've seen the light and scrapped the tie obsession! And that's why we're back from The Dorchester ufn!!  Don't need trip advisor to tell people that this hotel is about as good as it gets in London. Amazing staff,  immaculate EVERYTHING, glitz, glamour, nothing else to say!.......apart from 2 lobster sandwiches and four vodka mixers for £120.00 gulp gulp. But hey ho........""where fashion fits....putting on the Ritz"". Love it!", October 2012, Travelled as a couple
Johnnie_Tee,211,91,"Opulence, of course, but at a ridiculous price.",[4.0],"Stayed two nights, room only in October 2012.Of course, the hotel is in a great location, the service is faultless, the atmosphere really very British but there's just a couple of niggles. The TV in the room was really poor; it was too small for the room and half the channels didn't work. My main criticism though is with the prices. The mini-bar must have been designed for the blind or the insane (one of the cheapest items is a pack of M&Ms for £10). We made the mistake of ordering room service late one night; just a couple of sandwiches and a pot of tea - £63. I wouldn't care but they were really small sandwiches. Needless to say, we didn't pay £84 for the hotel breakfast.Drinks in the bar are expensive but I have to say that I had one of the best Bloody Marys ever in the Rivoli Bar.A coach trip of south east asian tourists were checking in - maybe that's who this hotel is catering for. It's a shame because it's an iconic British institution. I'll stay in one of the many other 5* hotels next time.", October 2012, Travelled as a couple
Kim C,31,13,25th Anniversary Champagne Afternoon Tea,[5.0],"Book, Experience and Enjoy!  Service was what you would expect from a hotel of this class. Sandwiches aplenty and more should you wish, scones to die for with cakes galore and ........ more and we did.  Choices of tea but I chose ""breakfast tea"" ...... nobody messes with my cup of tea!  Most enjoyable and an excellent way to end a couple of days in London.  The ""Ritz 100"" cocktail is a must in the Rivoli Bar ........  liquid gold!", October 2012, Travelled as a couple
Jane H,108,12,Afternoon Tea,[5.0],"Everything we hoped it would be, everyone was very helpful and friendly. Our children got this for me for a Birthday present, what a wonderful choice, I even got a cake with candle and the pianist played Happy Birthday. The best word to describe it... Fabulous x", October 2012, Travelled as a couple
madmagic1,303,96,The Ritz - enough said !,[5.0],Opulent and extravagant - you must stay there at least once in your life as a treat. Breakfast is like something from a bygone era and well worth the experience. The staff are attentive and helpful. Be aware there is a smart dress code so leave your jeans at home and pack a tie !An amazing hotel with an amazing history - very special., September 2012, Travelled on business
avalon1025,47,94,Exceeded very high Expecations!,[5.0],"Stayed 3 nights at the Ritz London and arrived with very high expectations that were definately exceeded.   The staff was amazingly warm and caring and went out of their way to assure a flawless stay.   From the room to the bar and high tea, everything was just perfect.   I am very much looking to return to the Ritz on my next trip to London", October 2012, Travelled solo
gillian p,605,177,"British luxury,style and history, at its best!",[5.0],"My family stayed at the ritz due to my husbands 50th birthday. From the moment we entered the building our experience began.  The staff were so warm, friendly and inviting, we all felt so special.  Nothing was ever a problem to the staff in the ritz, they really did make sure all our needs were met. What ever we asked for, they were able to provide.  All the staff knew the reason we were staying at the hotel, and extended congratulations to my husband, that was so kind.  Even in the restaurant in the evening, the waiter discreetly brought my husband  a small birthday cake with an inscription piped on the plate of happy birthday.  We were all so relaxed staying in our lovely rooms.  The breakfast in the following morning was amazing, what a lovely experience, it was like having a four course dinner like the night before. Thankyou. We shall be back.", September 2012, Travelled with family
anamariaigell,9,2,A visit to old England,[5.0],"Superb hotel, very well appointed rooms, five o'clock tea a must, the concierges are knowleadgea ble and very helpful to book busy restaurants.Lobby an enjoyment by itself, just  looking the people coming in and out.", June 2012, Travelled with friends
DAVID F,22,6,Expensive - but worth it,[5.0],"In this instance, it's true that you get what you pay for: I booked afternoon tea on the Friday for my partner's birthday - celebration high tea with birthday cake. We had endless sandwiches (fantastic too), cakes, desserts, tea (the best tasting tea I've ever had), and wonderful service, and the pianist played 'Happy Birthday To You' as the waiter brought the cake to the table and everyone clapped.. very memorable - as was our room overlooking Piccadilly - a deluxe king - huge bed, classy bathroom, hallway and sitting area perfect for yet another afternoon tea. It was a magical experience - the staff were by far and away the most friendly, professional hotel staff I've ever had and made our stay even more enjoyable. The two night stay and afternoon tea came to about £1000 but I never enjoyed a weekend break more thanks to this iconic hotel and it's family of staff.", March 2012, Travelled as a couple
J0sRad,33,63,"Iconic Hotel, Mediocre Service, Too Much Street Noise",[4.0],"Hard to say anything negative about the building, common spaces or the opulent rooms.  Truly world-class, as you would expect from such an iconic hotel.  Also, Afternoon Tea is a special treat.  However, after muddling our reservation upon arrival and a general attitude that seemed to imply how honored we should have felt to be guests at their hotel, the service left us less-than-impressed.  The real drawback of our stay was the street noise that was ever-present in our room four stories above the pavement.  And given the hotel sits on Piccadilly with its 24 hour traffic, the noise was constant.  We were glad to have stayed there and can now check this hotel off our list.  However, next time we will be back at the Dorchester or Connaught.", October 2012, Travelled as a couple
ClaireQPortsmouth,119,44,Top Drawer but could make some very basic improvements,[4.0],"We just spent 3 nights here for a family birthday treat with my husband, mother and her chap.  We had 2 junior suites that had a connecting door - very spacious and lavishly appointed, as you would expect of the Ritz.  If I am being really critical there were a few things they could have done better.  There are no coffee or tea making facilities in the room, wifi is not free, and room service was a bit slow for morning coffee - I had to ring down and remind them when it had not arrived after 30 mins.  Check in too was a little bit slow although the staff were very lovely and polite. It is a shame there is no pool, and the gym is tiny but we were there to relax and not work out.  Overall it was wonderful and a fantastic experience to live like Kings for a few days!  Location is really perfect too, right next to all the shops and next to the Park.  The bathroom was enormous, and lots of fluffy towells and nice bathrobes and slippers.  The room was on the 4th floor and a little bit dark - I think those on the Park side are suites and were out of our price range!", October 2012, Travelled with family
southamanda,39,23,Afternoon Tea,[4.0],"My husband surprised me with tea at The Ritz for my birthday as it has always been something I'd wanted to do. It was everything I thought it would be. FAB U LUS!! The 'Tea' (it was actually 11.30 in the morning. They are so busy!!) was wonderful as you would expect. The staff were all very efficient and pleasant enough. Having said all this, I don't know if I'd want to stay there as it would be too 'stuffy' for me. My husband got very hot and after quite a while he took off his suit jacket and was told (no please or thank yous!!) to put it back on. This was done very discreetly and we did notice the restaurant cooled down after that. But it was the way it was said. Took the edge off what was otherwise a memorable experience.", October 2012, Travelled as a couple
ThamesPathwalker,26,15,First Class!,[5.0],"I admit it,getting dressed up for a posh afternoon tea is out of my comfort zone!I have been to Reids in Madeira (snooty staff) & Raffles in Singapore (decidedly odd food),so I was expecting this to be something to be endured,not enjoyed.How wrong could I be?!The staff from the doorman to the waiters were friendly,discreet & welcoming.Everything was spot on & we had no problem with getting our photos taken,unlike previous reviewers.As a treat,it was lovely & is to be recommended,even to those with chips on their shoulders!!!", September 2012, Travelled with friends
Karen,74,29,"""Wonderful Experience""",[5.0],"My husband and I along with our 2 children (16 & 13) have returned from two wonderful nights staying at the Ritz.  This was truly an amazing experience and was a dream come true as I remembered as a young child I jokingly went round the turnstile door when on a whistle stop tour of London and how I wondered what it must be like to stay in such a ""posh hotel"". The 35 year wait did not disappoint!! I would recommend the Afternoon Tea as an absolute must.  The hotel staff were excellent and discreet at times.  The features of the hotel remain very grand and would agree that the dress code adds to the charm of the hotel.  I would like to add that my two children thoroughly enjoyed their stay and the only problem we have now is no other hotel will be able to meet this experience........", October 2012, Travelled with family
c0rb1ere,21,50,"Lovely, Even With Kids!",[4.0],"We have stayed at the Ritz on numerous occasions prior to having children and used to love it, although I used to feel it had a slightly shabby air to it!  When were choosing a hotel as a family for an overnight stay I was a bit reluctant to return to the Ritz, believing it would be too stressful with young children (aged 8 and 6).  I really was pleasantly surprised - they welcomed the kids and placed a nice toy  and suitable toiletries in the room for them.  Either the hotel has undergone a subtle update, or I am now at an age where I appreciate its appeal!  Its charm is the period feel and it has certainly not felt the need to update itself - but it is not shabby.  Breakfast was the only disappointment - I felt the buffet was poor and significantly overpriced for the lack of variety on offer.  I'm sure it used to be quite impressive.  We also had to query the bill as they had charged adult rates for the children's meal.  The kids also noticed that this hotel is out of the ordinary.  They have been to some of the best hotels around the world, but kept telling us that this one was really ""posh""!", October 2012, Travelled with family
badgeman007,129,81,Tea at the Ritz,[5.0],"Tea at the Ritz, Thanks to my Little Girl lovely gift, my wife and I had a lovely time in this Classic venue, The staff were just fantastic, We were a little early so we were able to soak up the atmosphere, So much food we were stuffed, the only issue was, we were not given a doggie bag to take what we had not eaten! Company policies and health and safety came into it ! so if going take a small tupper wear container !!! We just kept eating which was not the best idea!! However would recommend and what a great gift idea!", October 2012, Travelled with family
lhbz,19,19,THE best hotel in the world,[5.0],"I first stayed at the Ritz ten years ago when it had just reopened after renovations. I have returned about half a dozen times. Last February I had booked a short stay as our main travel plans were in continental Europe. Our plans changed suddenly and we ended up staying nine glorious days at the Ritz. The concierge (hall porter) staff is simply the best in the business. Ask them for a restaurant recommendation and you will not be disappointed. Ask them for theater or Opera tickets and you'll get the best seats in the house. Ask them for a chauffeured car to Blenheim and you'll get not only a driver, but an expert of British palaces.The room service is truly outstanding. I kept wondering how they could cook and deliver with such speed. The overall friendliness of the staff is unique.Yes, they have a dress code, but that is part of the charm of this hotel. While they have included the best of the modern world, including lighting fast wifi, the place looks and feels as if Cesar Ritz were alive and the Edwardian era never ended. Other great London hotels, like Claridges, have lost their charm precisely because they are full of blue jean clad sandal-wearing tourists.I would send managers of other five star hotels for a few nights stay at the Ritz so they learn how things should really be run.", February 2012, Travelled on business
JeanDT,41,18,"Not just a weekend break, more an amazing experience",[5.0],"My husband booked a junior suite for us to celebrate my birthday, this was something of a surprise for me and I had a panic that I wouldn't have the ""right"" sort of clothes to take with me and that made me a little anxious that I may be out of place here. How wrong I was. i did in fact take a couple of evening dresses plus other smart attire but they certainly were not from a designer shop, more, like Jacques Vert, Country Casuals. i think this review may be leaning towards the ladies,but  no, not completely.  From the moment we stepped out of the taxi and arrived the doormen were friendly, polite and turned out to be a wealth of knowledge and advice.  The reception staff greeted us and were very friendly and one of them showed us around where the restaurant and bar and lounges were located. In the meantime our luggage was taken to our room. The room was fabulous, not only spotlessly clean but every single thing was taken into consideration. even a small celebration cake was left for me and a greeting card for my birthday. Must mention the bedlinen and pillows because that is a particular ""thing"" with me. The bed linen is fine linen and the pillows quite conceivably the most comfortable I have ever slept on. The bathroom and towels also  superb.. We had breakfast each morning we stayed and tried a variety of choices, I could not possibly fault anything we had. The waiters were polite, friendly but inobstrusive. We also dined in the restaurant in the evening and as expected the choice and quality of the food and wines were truly exceptional. We actually went to the theatre two of the nights we stayed at the hotel but went to the Rivoli Bar afterwards. Should anyone be fortunate enough to go to the Ritz then please do not miss this. The bar staff are so knowledgeable about drinks, we asked their advice and were not disappointed. I felt I had gone back in time with the decor, it is so splendid. So, staying at this hotel is such a wonderful experience, not a once in a lifetime because we will most definitely go back again, we have in fact stayed at some lovely hotels in the past but the Ritz reigns supreme, and certainly for my birthday, will always be memorable for the right reasons. I must also add this, someone asked me, quote, ""did you spend a lot of money giving tips, that is what would put me off staying somewhere like this"".  I really do have to say that not at any time did any member of staff give any indication they expected tipping, we were also treated exactly with the same deference, I am certain of this, that any visiting celeb would be. Any lingering anxieties we would be ""out of place"" at the Ritz were instantly dispelled.  Hope that helps anyone who may read this.", October 2012, Travelled as a couple
cucuruchito,357,197,A timeless beautiful place in the heart of London,[5.0],"The Ritz London is wonderful. As soon as you get there the feeling is you re travelling in time.. I think this sensation is a plus you get only in a few unique places… so it should be considered when you face the rates...,i think it was worth it.  The atmosphere is elegant, sophisticated, timeless… the warmth of the hallporters,  and the  doormen- that would soon call you by your name- make you feel that you re just coming back to your own london home,even if you ve never been there . Afternoon tea at the Ritz is quite an experience and it should not be missed. Fortunately, the hotel manages to have certain availabilty of some tables for its guests should they  want to make a sudden reservation for tea , even though I would recommend booking in advance as these tables might anyway become unavailable. It s been lovely to have afternoon tea in such lovely lounge with my 9 year old son, all dressed in a suit… who was delighted with the most delicious scons ever, the classic sandwiches, and everything else…with the exception of the orange juice…  (The only thing that didn t match …is the orange juice…  Kids usually have juiceinstaed of tea or coffee.. and the juice they bring to the afternoon tea - and also at breakfast-  is not freshly squeezed as one should expect in such a venue , it is more like ofthe juice box type… and tasted awfull.. it definetely  does not match with the impeccable tea ritual at the Ritz…. ) So, afternoon tea was lovely, I would definetely recommend it. Packing nice clothes is part of the whole Ritz London experience, men are not  allowed at the restaurant wearing  jeans and sneakers, or t shirts.. (they have a changing room in case someone in a group might needto borrow some trousers)-  At his hotel following the dress code is a must and is part of the game… everything matches with the elegance and charm of the place.Our suite was beautifully decorated and  very comfortable,  overlooking Picadilly and St James Park.. I would not change anything… ( … or yes..maybe I would…the telephones! They are too common, they do not match.. a bit outdated (not nice vintage), and they don t have the labels so you can quicky dial…  I always had to call the operator first if I wanted room service or to talk to the concierge… ). As for the rest, the room was perfect.The concierge service! It  is one of the best ones in the world! Andy, Michael and Tony were always there helping us with anything we might need, they manage tofind for us excellenIt theatre tickets for Shrek, The Musical,  on the same day (many times during the same week! ) They are kind and professional in all aspects and are the ones that do make a difference for a perfect stay. I d like to thank them all!Even, the same day we were flying to New York, we forgot our passports in our suite safe box, and I realized about this at the airport check in counter! In total distress, I called the hotel and told Andy about the problem , and he immediately took care of everything, he sent a hotel car with the passports, so they arrived at the airport in the following 40 minutes. Thank you  so much, Andy!    Housekeeping service and Room Service  were also perfect and they surprise you  with complimentary unexpected  fruit, or pastries from the hotel kitchen.We had only a mixed emotions moment : The hotel usually offers the fourth night in a deluxe suite on compliment. This offer was available at the time of our stay but unfortunately we could not benefit from it as I  First  booked for a short stay of three nights with my little son. The same day I  checked out  after those three nights, we had to go back to the hotel , due to some problems with our flight that evening , and asked to stay for an extra night so we could think about how to reschedule our flight. (We were  given a new deluxe suite, 518,  similar to the previous one) The following morning, with my husband we decided to stay more time in London and extended our stay in the same Ritz deluxe suite for three more nights…the suite was available so I thought this time we deserved the fourth night on compliment which was an  offer still  available at the time of our booking. We were told at the front desk that in order to have that benefit  we  were supposed to book the four nights at the exact same moment.  We couldn t have done that as we needed a lilttle time to think.  I asked the front desk to explain the situation to the duty manager , but the front desk called us back to our suite to tell us that in spite we would stay in the same suite for four nights, we could not have our fourth night on compliment,  because the system accepts it only when the four nights are booked at the same exact moment. Of course I said I understood, but it was quite a disappointment … and not because of the money- I ve been lucky enough to stay at many of the best hotels in the world, and I know that it is in someone s power to understand and make a better, wiser decision- and that did not happen. In such a hotel I would n t expect ¨the system¨ to be the ultimate decision maker. We stayed 7 consecutive nights (from Sept 29 th till Oct 2 nd (three nights) under my name and from Oct 2 till Oct 6 th (4 nights more) under my husband s name) in a deluxe suite   … In such a hotel I would n t expect ¨the system¨ to be the ultimate decision maker.…   In spite of that moment, I still do recommend staying at the Ritz London, I loved the charm of the hotel, and would like to be back to soon. The location is perfect, walking distance to Buckingham Palace and St James Park…  near all public transport - if you love riding the double deckers as we do, number 14 th leaves you directly in front of Harrods (don t miss this lovely store and having lunch at the food court there! ), Bus 14 also takes you to the Natural History Museum… the 38 or 19 takes you to the British Museum. Covent Garden is also near with great theatre and bars.  The underground station is also right there! .Taxis are a great option as well. Not expensive and so british...Taking taxis is a pleasure in London,  taxi drivers are real gentlemen, completely the opposite of new york taxis drivers!!!!  Enjoy a conversation with them, they know everything and would always be glad to answer questions or describing places.  I also recommend The Wolesley ,  a lovely restaurant just across Arlington Street… it used to be a car store in the past, and a bank ! , the building is amazing and it is also very well preserved.. the food is delicious...another trip in time!  London is a unique place… and a stay at the London Ritz enhances the whole british experience ! As Gene Wilder and Danny Boyle say in Young Frankenstein: Put on the Ritz ! .", September 2012, Travelled with family
Misa,44,21,Our new home in london,[5.0],"My husband and I stayed at The Ritz for 4 days to celebrate my 50th birthday.  It was everything we could have hoped for.  Beautiful accommodation, warm and welcoming staff, fabulous atmosphere, central location, great food and champagne. Nothing was too much trouble and our stay was the highlight of our 5 week trip away.  The little touches were lovely, the tea tray in our room after a busy day sightseeing, storing our kids luggage while we had tea with them, squeezing us in for an impromptu drinks and dinner.  Stayed at another 5 star hotel later in our trip and there was no comparison. Just looking at when we can visit again.", March 2012, Travelled as a couple
FLYINGBLUEDOG,299,126,Wow Wow Wow,[5.0],"The complete experience! Celebrating our 25th wedding anniversary we decided to visit London as tourists (although we are only a 40min train ride away), and what better place to choose than The Ritz!Dinner was an event, so much so we opted for a last night 'dinner-in' rather than going out, our original intention. But after a hard days touristing it seemed a lazy, but well deserved option.The Louis Seize interiors take a bit of getting used to as it really is over the top gilt, but we could suffer that!The cocktail bar is a delight with it's thirties Deco interior and Lalique wall lights.It was a treat to be greeted by the doorman on return with 'Welcome back'.However, not all was well......our first room, a junior suite as booked, reeked of it's previous occupants -smokers!! My wife rang reception and asked for a new room and failing that a return car to our home at their expense. A massive fire fighting exercise kicked in led by their apologetic young manager which included free cocktails, valet transfer of our bags and belongings to a top floor Green Park suite for one night and then a valet transfer while we were out the next day to a non-smoking junior suite overlooking Piccadilly. According to my wife at no time during the booking process were we offered the choice of smoking or non-smoking and assumed, wrongly, that all hotel rooms in the UK were non-smoking. It did, initially, literally leave a bad taste in the mouth though....Breakfast....why oh why is the toast served before the main course and allowed to go cold??? Remedied by a specific request and remembered by our waiter the following day. However the thin bread used for the toast was poor and next to processed/plastic bread. I like my toast thicker with a crusty outside and soft inside (for next time please note!!) At dinner the brioche was excellent and despite putting a request in for some for breakfast to the maitre d, unfortunately this did not get through to the breakfast chef.......Scrambled egg for my wife was poor, but soon remedied into something special.....Afternoon tea......well, what can I say...as many sandwiches as we could manage, plenty of cakes and scones....yummy! Lovely way to end our break!!", September 2012, Travelled as a couple
Jill471,25,12,"""Fabulous Experience""",[5.0],"It truly is a fabulous experience to visit this hotel. Six of us went for afternoon tea to celebrate my Mom's 80th birthday and my friend's 50th birthday. We were a mised age group consisting of my two daughters (in there 20's) myself and my friend and Mom and Aunty (in there 80's) and we all enjoyed afternoon tea. This is luxury on another scale, the staff were lovely and made you feel like royalty. The food was excellent and delicious, the finishing touches were to perfection even the pianist who played all the way through. A wonderful time was had by all of us.", March 2012, Travelled with family
Graham P,127,121,Memories ay made of this,[5.0],"Having had afternoon tea at the Ritz a few times it gave us some idea of how nice it would be to stay overnight and our opportunity came in the way of a suprise 60th birthday present from our three chidren.  There are not enough superlatives in the english language to describe our weekend.  From the moment the doorman helped us from the taxi we were transported to another world - a glamourous world we normally only see in films.  The interior of the hotel is luxury personified.  All the staff were absolutely wonderful and attentive and whilst they must see thousands of guests a year, to remember and address us by our names throughtout the stay made us feel like royalty.  Our bedroom and bathroom were stunning with surperb views along Piccadilly.  The food for both breakfast and dinner was of the highest order with a good choice of menu and attention to every detail.  Saturday night dinner with music and dancing will long live in our memories and I can't imagine anywhere where there might be a more beautiful restaurant.  This is as good as it gets and I'm hoping it will become our annual indulgence.", September 2012, Travelled as a couple
BBear52,252,80,Afternoon Tea,[5.0],"We booked months ago, within the window of our visit. Sunday 7.30pm is that a good time for afternoon tea, well it was surprisingly.A couple of glasses of champagne, perfectly chilled were sublime in this lovely room off the foyer. It was buzzing with special event energy. Everyone seemed very happy to be there, the pianist included, the wait staff played the game happily encouraging the mood. The repast was fine though clear & subtle that the tables need be turned, there was a pace but not rushed.Just great, looking forward to taking my daughters and grand children one day, it is that sort of event.", September 2012, Travelled as a couple
yorkshire201,2,2,Wonderful!,[5.0],Visited the ritz recently for afternoon tea.it was lovely.all staff were extremly friendly.not snobbish like most people think and say.thoroughly enjoyed it.and would visiy again.was the highlight of my trip to london., September 2012,nan
Arielkuo,14,4,Fabulous room and perfect location,[5.0],I stayed in this hotel for one night after my Silver whisper cruise trip.Their service is great and the room is spacious and very elegant.The hotel is one minute walk from green park station which is very convenient.The drawback is its price but I got great deal from my agent. I think it worth the money!The restaurant is very beautiful but the food category of breakfast is very limited., September 2012, Travelled as a couple
AYellowWood,26,22,A mixed bag,[4.0],"I was very excited about staying at The Ritz and overall I enjoyed it ... but I won't be returning any time soon. It started moments after arrival, when I had to tell the woman at reception three times that yes, my partner and I were staying in the same room. Twice, she looked at me and said, ""But there is only one bed."" Twice, I stared at her stonily and said, ""Fine."" It started the long weekend on a sour note and made us feel conspicuous and uncomfortable, to say the least. We booked our room through AmEx platinum travel services, and booked a lower-middle tier room. The agent told us that the hotel did not seem to be very booked at the time of our visit, so we were likely to receive an upgrade (standard with AmEx platinum). it turned out that we did not receive an upgrade, and the room was on the smaller side. It was sumptiously appointed with beautiful drapes and bedcoverings, fireplace, etc ... but it was snug. This was my own fault, though, and I haven't made that mistake again. And while we thought breakfast was lovely and the service sublime .... the whole vibe felt a little too old and a little too serious -- terribly civilized and correct, but at the expense of making guests feel welcome.", November 2011, Travelled as a couple
Kevin-James-McA,5,7,Excellent service - and attention to every last detail,[5.0],"Staying at The Ritz is a unique experience. From our first contact with Patrick in reservations through to the welcome we received at reception and the friendly efficiency from the concierge service with Michael and Ben, the attention to detail is superb. I did stay at The Ritz many years ago and it has been completely renovated since then. The staff made every effort to ensure that our visit, which was a special occasion, felt very special. Above all, all the Ritz staff clearly gain great satisfaction from providing a superlative service. We particularly enjoyed our time in the Rivoli bar, taking afternoon tea with champagne and the excellent food at dinner and breakfast.", September 2012, Travelled as a couple
Middletonlass,216,64,Wow,[5.0],"It lived up to all expectations. The service was marvellous and the food was beautifully presented. Constant refills of tea and sandwiches, but leave room for the scones, tiny cakes and cake trolley. We felt underdressed, if you go treat it as if you are going to a wedding minus the hat! The surroundings were wonderful and you can take pictures if done discreetly. Would go again, also just down the road from Fortnum and Mason.", September 2012, Travelled with family
Kay F,140,36,Afternoon tea AND an overnight stay,[5.0],"Afternoon tea at the Ritz is just something everyone should do once in their life - it's an ultimate Bucket List experience.  Ok, we were staying the night too, but from the moment you walk in, you're treated like a celebrity - nothing is too much trouble.  The tea itself is fabulous - a choice of tea to your own taste so we could both have our own favourites, and bottomless pots too.  Beautifully presented and cut selection of sandwiches, with replenishment.  Then warm scones, with jam and clotted cream, followed by cakes.  It might look like there's not an awful amount to eat, but don't be fooled!  They come round with ""extras"" too, we had a delicious lemon posset, and then a cake trolley with lemon drizzle cake or Victoria sandwich too.  It's really not a tea but a feast!  We had to go for a walk afterwards, which was another experience - visit Fortnum and Mason's food court if you can, it's amazing!Staying at the Ritz is also wonderful, it's in a great location of course, the rooms are sumptuous and wonderful, the beds soft and huge, the en suite bathroom luxurious.  The lifts have to be seen to be believed - with paintings of elegant ladies of a bygone period adorning the walls!  Of course, breakfast can be served in your room and to your choice.  If you want to have a truly memorable luxury experience, then I'd recommend this to anyone.", January 2012, Travelled as a couple
Moonstarme,58,66,Afternoon Tea,[5.0],"Afternoon Tea at the Ritz was everything I expected it to be, an expensive treat that has to be done when you visit London, the usual finger sandwiches, chicken, egg mayonnaise, cucumber, and ham, served on three tier plates, fresh plain and raisin scones, followed by delicate pastries and as much tea as you can drink from delicate bone china tea cups and saucers, the cutlery is silver and the table linen immaculate perfect! All for the price tag of £40 each, if you want champagne or a birthday cake then it will cost more. I would say the food is as good as you would get anywhere else, and the price you pay is for the service and for being at  the hotel itself which is an absolute pleasure.", November 2011, Travelled with friends
lance s,9,5,Best thing I could ever do,[5.0],"Took my lovely Grandma for afternoon tea.As a war veteran, and as someone who never thought she would ever experience such a thing, it was a bit overwhelming.She has never stopped talking about it, and for me, I have to say, I enjoyed it immensely.Some things, hopefully will never change, and this is one of them.", October 2011, Travelled with family
Jennie V,21,15,Coffee at the Ritz,[5.0],"Finding a decent cup of coffee in London and England generally is always a challenge. My idea of decent coffee does not include anything from Starbucks or anywhere similar.I discovered on a previous trip that they did great coffee so we went back. Beautiful gracious friendly service, great coffee, excellent presentation and tasty shortbread biscuits. Why pay for a bucket of indistinct stuff masquerading as coffee when you can have the real thing. Highly recommended.", September 2012, Travelled with family
Moraig30,97,86,What can I say?,[5.0],"I recently was taken to the Ritz in London for my 60th birthday and it was unforgettable.  Apart from the sheer beauty and opulence of the hotel the staff were wonderful.  They unfailingly remembered our names, treated us at all times as if we were VIPs and apart from our suite not being made up until later one day, provided absolutely excellent service.  The food was wonderful - the best afternoon tea in the world (and I've sampled a few) plus memorable breakfasts and dinners.  All in all there was little to fault the place.  One special mention for Ellen in the spa - the most amazing manicure and pedicure I've ever had.  It lasted as long as Shellac!", September 2012, Travelled as a couple
